name	sampling_fn	replace	N	seed	time	rare	max_min_dist	spectral_nmi	spectral_bnmi	louvain_ami	louvain_bami	louvain_n_clusters
zeisel	uniform	False	9305	10	0	67	0.8097258310299099	0.5177731515060839	0.548383823112052	0.591710236229236	0.6567242690955382	35
zeisel	uniform	False	9305	11	0	49	0.8108479540274599	0.5136181854712104	0.5359491134663188	0.6250181665242247	0.673229875823079	34
zeisel	uniform	False	9305	12	0	60	0.7321664609114188	0.5184239335197426	0.5654125536990418	0.6224685736575538	0.6637595438499332	32
zeisel	uniform	False	9305	13	0	59	0.7869075270622893	0.5173299121762839	0.5647802114769735	0.6163976547764891	0.683686439124553	34
zeisel	uniform	False	18611	10	0	125	0.7466614175171878	0.5173706537712129	0.5518075975173353	0.5897595171082594	0.6824243685606466	37
zeisel	uniform	False	18611	11	0	116	0.8108479540274599	0.5110753409343978	0.5607579309072822	0.610313073132477	0.6903725781956953	40
zeisel	uniform	False	18611	12	0	116	0.7000059123504652	0.5136188120624025	0.5550708996672409	0.6063625144339191	0.6977461268226585	40
zeisel	uniform	False	18611	13	0	100	0.7343674857201035	0.518641865824347	0.5534956149480218	0.6050242520142395	0.6876641881393041	39
zeisel	uniform	False	27916	10	0.013288021087646484	197	0.7002461012187033	0.5140460860959758	0.5475131163964272	0.6013949497218647	0.6980774779459026	45
zeisel	uniform	False	27916	11	0.014258861541748047	166	0.7570406679820314	0.5092587134744355	0.5587970219491024	0.6159562180712685	0.7052494902612659	43
zeisel	uniform	False	27916	12	0.013351678848266602	178	0.693523441776888	0.512946464819826	0.5552797750387294	0.6170573062268416	0.7098369264128355	44
zeisel	uniform	False	27916	13	0.012977123260498047	150	0.7333334452815126	0.5172977351188063	0.5637704928957711	0.5901631695809606	0.688649667333706	44
zeisel	uniform	False	37222	10	0.012248039245605469	255	0.6777515408467769	0.5116676626013678	0.5434749431666274	0.6021706509254514	0.7193986545314203	46
zeisel	uniform	False	37222	11	0.017302751541137695	224	0.7570406679820314	0.5157514508726112	0.5561011265322523	0.6019218898426956	0.696616968460553	48
zeisel	uniform	False	37222	12	0.01157379150390625	227	0.6723358510825761	0.5131107138811332	0.5548716141194908	0.6135471219516268	0.7041645228666045	46
zeisel	uniform	False	37222	13	0.014948606491088867	201	0.7282632743614609	0.5152305752526111	0.5573486068654517	0.6067283456199792	0.69276821444126	44
zeisel	uniform	False	46528	10	0.014939069747924805	304	0.6777515408467769	0.5077273231419698	0.5538601221988154	0.613232767320696	0.706897269264733	48
zeisel	uniform	False	46528	11	0.01472163200378418	269	0.7466614175171878	0.5150841026401436	0.5587871367574997	0.6213162204180362	0.7078906395840957	49
zeisel	uniform	False	46528	12	0.016683578491210938	292	0.6723358510825761	0.5094217395391202	0.5547087492266978	0.5886527032256839	0.7001158260391742	48
zeisel	uniform	False	46528	13	0.01844048500061035	255	0.7282632743614609	0.5138920193720528	0.5562817110532053	0.5897947639296314	0.6900792897008329	49
zeisel	gs_gap	False	9305	10	0	611	0.7701774425108909	0.4868444781657909	0.49641803782315497	0.7044784246344433	0.7026761030360948	42
zeisel	gs_gap	False	9305	11	0	603	0.765938618620611	0.4864959476035882	0.4917636456026117	0.6178767333792963	0.6520005673705631	42
zeisel	gs_gap	False	9305	12	0	601	0.7234988152280754	0.49418370309606724	0.4836951986752083	0.7014026630115104	0.7091130894826448	41
zeisel	gs_gap	False	9305	13	0	602	0.8336650321668304	0.5173140240603222	0.47318525437076453	0.6952470599256503	0.7079930956999808	43
zeisel	gs_gap	False	18611	10	0	1092	0.7574677504988632	0.4914293669755198	0.5167749333480657	0.6965840508018639	0.7268662064435035	46
zeisel	gs_gap	False	18611	11	0	1075	0.7484618881442041	0.4873562192045409	0.5161468299320137	0.7063752646896603	0.727180711386043	47
zeisel	gs_gap	False	18611	12	0	1082	0.7132503283510189	0.6507778103713613	0.6584517901684379	0.7355755056973916	0.736420727393495	43
zeisel	gs_gap	False	18611	13	0	1080	0.71025969246962	0.4946027045272049	0.5218577209231988	0.7277446189473944	0.7295862199333031	42
zeisel	gs_gap	False	27916	10	261.54484939575195	1520	0.6879285547421722	0.4925316929737775	0.5266174790529304	0.6990518016972259	0.7293210202014464	48
zeisel	gs_gap	False	27916	11	259.0777142047882	1520	0.688191078979504	0.48807119345330263	0.5238303656950973	0.697579503602041	0.7346683088802698	49
zeisel	gs_gap	False	27916	12	224.06435799598694	1519	0.6879285547421722	0.4922979430221301	0.527149955349331	0.7212145064214389	0.7319683524297955	48
zeisel	gs_gap	False	27916	13	242.48864078521729	1514	0.71025969246962	0.49474336693583265	0.5289287799664836	0.6856348452763115	0.725950739338497	48
zeisel	gs_gap	False	37222	10	253.41495656967163	1670	0.680810358049042	0.4949652776828726	0.5348928887426978	0.6999450946383033	0.7306653408175657	53
zeisel	gs_gap	False	37222	11	348.7444703578949	1659	0.680810358049042	0.49542870913309484	0.5360979435435649	0.6557191238327902	0.7209975157356842	53
zeisel	gs_gap	False	37222	12	202.3331036567688	1662	0.6408988654101428	0.49311309297928674	0.5328812536071484	0.710114965411171	0.7411367301703156	53
zeisel	gs_gap	False	37222	13	254.52463507652283	1656	0.680810358049042	0.49630236427591584	0.5371892802737416	0.7045216514093628	0.7374669593083901	50
zeisel	gs_gap	False	46528	10	288.5533940792084	1686	0.680810358049042	0.484404378911304	0.5075640728968095	0.7027441483044007	0.734474386116494	51
zeisel	gs_gap	False	46528	11	280.3407120704651	1691	0.680810358049042	0.486648766256715	0.5101658623955542	0.687987590668092	0.7371129367590344	51
