name	sampling_fn	replace	N	seed	time	entropy	max_min_dist
tabula_ss2	uniform	True	100	0	0.00019073486328125	0.7497903758151847	1.2505719913322573
tabula_ss2	uniform	True	500	0	0.00028014183044433594	0.8310790937271766	1.2163700244669309
tabula_ss2	uniform	True	1000	0	0.0002651214599609375	0.8451699439624714	1.1844942223487522
tabula_ss2	uniform	True	5000	0	0.0006849765777587891	0.8520451956731748	0.82030890894518
tabula_ss2	uniform	True	10000	0	0.0014574527740478516	0.8511288946965189	0.8084041965189879
tabula_ss2	uniform	True	20000	0	0.0028891563415527344	0.850089014792925	0.6714445522182082
tabula_ss2	uniform	False	100	0	0.02618551254272461	0.7632703590266391	1.3040029425767488
tabula_ss2	uniform	False	500	0	0.0016460418701171875	0.845726208219118	1.2539818860061895
tabula_ss2	uniform	False	1000	0	0.0011296272277832031	0.8475819178387628	1.2032203195059405
tabula_ss2	uniform	False	5000	0	0.0014529228210449219	0.8518962604606723	0.8695877058289575
tabula_ss2	uniform	False	10000	0	0.0021944046020507812	0.8506858118835353	0.8695877058289575
tabula_ss2	uniform	False	20000	0	0.0033609867095947266	0.8534372462914377	0.8695877058289575
tabula_ss2	gs_grid	True	100	0	12.302484273910522	0.7748595689453702	0.9015368576888978
tabula_ss2	gs_grid	True	500	0	12.53565001487732	0.8015925884540461	0.8757663505415233
tabula_ss2	gs_grid	True	1000	0	12.238110065460205	0.809889487695745	0.8757663505415233
tabula_ss2	gs_grid	True	5000	0	12.711371898651123	0.8196026103358631	0.8456271954043617
tabula_ss2	gs_grid	True	10000	0	12.407435655593872	0.8191409674551478	0.6589340833096946
tabula_ss2	gs_grid	True	20000	0	12.700595378875732	0.8203510304565139	0.6455617398701279
tabula_ss2	gs_grid	False	100	0	12.01294469833374	0.7906547114352344	0.9563534660867741
tabula_ss2	gs_grid	False	500	0	12.324779748916626	0.8293757613873922	0.8647766370753186
tabula_ss2	gs_grid	False	1000	0	12.056756496429443	0.8298043974490653	0.8647766370753186
tabula_ss2	gs_grid	False	5000	0	12.403793334960938	0.8379571862014216	0.5162184450366631
tabula_ss2	gs_grid	False	10000	0	12.478906631469727	0.8314825195082612	0.4370914241055779
tabula_ss2	gs_grid	False	20000	0	14.971759557723999	0.8016001072477514	0.3372169647380034
tabula_ss2	srs	True	100	0	2.1404032707214355	0.759999061471171	0.8751836331549331
tabula_ss2	srs	True	500	0	10.01418924331665	0.8241868517145916	0.6560283645793841
tabula_ss2	srs	True	1000	0	20.40530800819397	0.8339628127839013	0.5294841278446698
tabula_ss2	srs	True	5000	0	100.13081645965576	0.8425651616893984	0.511134542531452
tabula_ss2	srs	True	10000	0	199.53760528564453	0.8425169732137336	0.46358476821280165
tabula_ss2	srs	True	20000	0	399.18719458580017	0.8407740594488445	0.45768561231383414
tabula_ss2	srs	False	100	0	2.3594887256622314	0.7611864485371597	0.8751836331549331
tabula_ss2	srs	False	500	0	10.266894578933716	0.8259115277255182	0.6560283645793841
tabula_ss2	srs	False	1000	0	20.06796908378601	0.8345043120977587	0.5241289379879916
tabula_ss2	srs	False	5000	0	103.77187919616699	0.8447635728861838	0.3760387994014219
tabula_ss2	srs	False	10000	0	214.38287615776062	0.8395851258788589	0.27543753196424037
tabula_ss2	srs	False	20000	0	435.2966706752777	0.8265106316178904	0.16161256670222096
tabula_ss2	louvain1	True	100	0	70.14150714874268	0.7822408690041708	0.9666966962061052
tabula_ss2	louvain1	True	500	0	43.62236714363098	0.853647685352629	0.8817126305216147
tabula_ss2	louvain1	True	1000	0	43.7480411529541	0.8725014891983641	0.7165509713140334
tabula_ss2	louvain1	True	5000	0	44.90577983856201	0.8782048569293579	0.6534059006850313
tabula_ss2	louvain1	True	10000	0	43.5799400806427	0.8853592332319106	0.6268398308565936
tabula_ss2	louvain1	True	20000	0	43.7102324962616	0.8825061427887135	0.5503107248797806
tabula_ss2	louvain1	False	100	0	43.47247314453125	0.8188104143172361	0.8992300750408222
tabula_ss2	louvain1	False	500	0	43.62999439239502	0.8717320672134797	0.7074979292804683
tabula_ss2	louvain1	False	1000	0	43.41485095024109	0.872554792200294	0.7273652145913863
tabula_ss2	louvain1	False	5000	0	47.08708381652832	0.8821801398961231	0.6540687782779063
tabula_ss2	louvain1	False	10000	0	43.962613105773926	0.8805984367547015	0.5637166009372236
tabula_ss2	louvain1	False	20000	0	44.32384014129639	0.879277029526613	0.6339725226448097
tabula_ss2	louvain3	True	100	0	44.16722869873047	0.8373857581069183	0.9486382080625742
tabula_ss2	louvain3	True	500	0	44.39605450630188	0.891860025414375	0.7406008875678795
tabula_ss2	louvain3	True	1000	0	43.69212579727173	0.903407086469751	0.7709235611527891
tabula_ss2	louvain3	True	5000	0	44.52288842201233	0.8997561876031189	0.6268398308565936
tabula_ss2	louvain3	True	10000	0	59.6906201839447	0.905258079443534	0.652423008870684
