name	sampling_fn	replace	N	seed	time	rare	entropy	max_min_dist
simulate_varied	uniform	True	100	0	0.00013756752014160156	0	0.3189789351681142	0.8397598250458876
simulate_varied	uniform	True	500	0	0.0002181529998779297	1	0.2643640497124579	0.7846765721423365
simulate_varied	uniform	True	1000	0	0.0003066062927246094	2	0.267917817281377	0.76655220330057
simulate_varied	uniform	True	5000	0	0.0008101463317871094	5	0.2638775282630227	0.7357584154404829
simulate_varied	uniform	True	10000	0	0.0015149116516113281	10	0.26256148578076394	0.7166396270221349
simulate_varied	uniform	True	20000	0	0.0027921199798583984	18	0.26314391274231036	0.715328057174271
simulate_varied	uniform	False	100	0	0.0030007362365722656	0	0.07072027127091034	0.9563771680825661
simulate_varied	uniform	False	500	0	0.00246429443359375	0	0.17432323962788074	0.8214091279739838
simulate_varied	uniform	False	1000	0	0.002555370330810547	0	0.2236484766246532	0.8214091279739838
simulate_varied	uniform	False	5000	0	0.0028533935546875	1	0.24457452045343747	0.7650372473131068
simulate_varied	uniform	False	10000	0	0.003631114959716797	8	0.2502321116000556	0.7173415955233531
simulate_varied	uniform	False	20000	0	0.004666566848754883	19	0.2530094423863992	0.7089697467759387
simulate_varied	geometric_sketching	True	100	0	35.26781678199768	1	0.5128768544229121	0.4369469350519555
simulate_varied	geometric_sketching	True	500	0	34.65495586395264	9	0.6004362313457211	0.41479493877818885
simulate_varied	geometric_sketching	True	1000	0	34.795979261398315	12	0.6105674743932409	0.4118126574614465
simulate_varied	geometric_sketching	True	5000	0	35.17767333984375	51	0.6106355752451283	0.4044411122848027
simulate_varied	geometric_sketching	True	10000	0	35.177165269851685	111	0.6142918381362582	0.39543451655504125
simulate_varied	geometric_sketching	True	20000	0	35.496009349823	244	0.6153176458698684	0.38277795718692537
simulate_varied	geometric_sketching	False	100	0	34.46971297264099	2	0.5790914584943319	0.45057178523651964
simulate_varied	geometric_sketching	False	500	0	34.62776517868042	5	0.6209289251188195	0.41400039929286137
simulate_varied	geometric_sketching	False	1000	0	35.06349301338196	5	0.6070427888267225	0.40849738335748476
simulate_varied	geometric_sketching	False	5000	0	34.71213150024414	60	0.6049146727577536	0.3810236037916187
simulate_varied	geometric_sketching	False	10000	0	35.54119157791138	102	0.5478621152048911	0.3790962864722386
simulate_varied	geometric_sketching	False	20000	0	36.482582807540894	103	0.4587328380318949	0.376041186583872
simulate_varied	srs	True	100	0	3.720001220703125	0	0.42127204904845045	0.4371674028445963
simulate_varied	srs	True	500	0	18.458672285079956	1	0.44563359914021516	0.4076010266521997
simulate_varied	srs	True	1000	0	38.27708315849304	1	0.4298500594612578	0.4041090616527144
simulate_varied	srs	True	5000	0	186.6186695098877	18	0.42590563751390065	0.3857427805993812
simulate_varied	srs	True	10000	0	365.9021122455597	35	0.4250488129990919	0.374328016972165
simulate_varied	srs	True	20000	0	1014.4655432701111	79	0.42403854752756953	0.374328016972165
simulate_varied	srs	False	100	0	5.645810127258301	0	0.42127204904845045	0.4371674028445963
simulate_varied	srs	False	500	0	25.448143005371094	1	0.44563359914021516	0.4076010266521997
simulate_varied	srs	False	1000	0	50.680450439453125	1	0.4298500594612578	0.4041090616527144
simulate_varied	srs	False	5000	0	250.23474049568176	17	0.4219740630445173	0.3857427805993812
simulate_varied	srs	False	10000	0	508.8585960865021	36	0.4193870047696923	0.374328016972165
simulate_varied	srs	False	20000	0	1041.2015030384064	63	0.41085252040114845	0.36579843750177937
simulate_varied	louvain1	True	100	0	145.91914582252502	14	0.7791040208803709	0.45232324450127676
simulate_varied	louvain1	True	500	0	134.1422951221466	54	0.8264075920003087	0.42091697706883413
simulate_varied	louvain1	True	1000	0	133.30752873420715	114	0.8339975619153511	0.39922515941590353
simulate_varied	louvain1	True	5000	0	134.35491156578064	585	0.837117337659279	0.382263642513265
simulate_varied	louvain1	True	10000	0	134.69539523124695	1108	0.8289892613932967	0.3805708143666936
simulate_varied	louvain1	True	20000	0	136.16875171661377	2202	0.8291709944995338	0.372073690573315
simulate_varied	louvain1	False	100	0	136.03132796287537	9	0.832355226009042	0.4321615992530282
simulate_varied	louvain1	False	500	0	134.78339791297913	56	0.8210944784345886	0.413966983274953
simulate_varied	louvain1	False	1000	0	135.71681690216064	95	0.8200526815708802	0.4077816391511526
simulate_varied	louvain1	False	5000	0	135.6655411720276	101	0.7095776329283748	0.385800891635007
simulate_varied	louvain1	False	10000	0	138.70381331443787	103	0.6510756740776581	0.3804950049630985
simulate_varied	louvain1	False	20000	0	140.60695362091064	103	0.571728403728963	0.37279521637982616
simulate_varied	louvain3	True	100	0	132.87553787231445	7	0.6080954706318291	0.43450983541411947
simulate_varied	louvain3	True	500	0	132.89056396484375	26	0.6035743834388136	0.42066310313962685
simulate_varied	louvain3	True	1000	0	134.54361128807068	54	0.603250399349473	0.4028531162800114
simulate_varied	louvain3	True	5000	0	134.12520217895508	237	0.5685493685425373	0.3883842437513373
simulate_varied	louvain3	True	10000	0	133.26054286956787	475	0.5721257834336574	0.38109074453368413
simulate_varied	louvain3	True	20000	0	134.94537115097046	990	0.5789410681716269	0.37555318655414166
simulate_varied	louvain3	False	100	0	132.03712844848633	3	0.525440839209008	0.438462721760298
simulate_varied	louvain3	False	500	0	133.43019914627075	22	0.597305982576947	0.4112220310673236
simulate_varied	louvain3	False	1000	0	132.68663477897644	51	0.6163835836663277	0.409990294449854
simulate_varied	louvain3	False	5000	0	133.57641124725342	101	0.5207236059252455	0.38752946493635365
simulate_varied	louvain3	False	10000	0	134.08832788467407	101	0.5014545386218823	0.3796702451573124
